comp_id,comp_nm,status,corp_code,stock_code,note
1,CJ올리브네트웍스,manual,00223799,,비상장이라 stock_code 없음. DART 명 '씨제이올리브네트웍스'
2,DB손해보험,auto,00159102,005830,
3,HMM,auto,00164645,011200,
4,HPSP,auto,01288827,403870,
5,KT,manual,00190321,030200,DART 정식명이 한글 '케이티' 라 영문 표기로는 매칭되지 않는다
6,LG,auto,00120021,003550,
7,LG디스플레이,auto,00105873,034220,
8,LG에너지솔루션,auto,01515323,373220,
9,LG유플러스,auto,00231363,032640,
10,LG전자,auto,00401731,066570,
11,LG화학,auto,00356361,051910,
12,LIG디펜스앤에어로스페이스(구 LIG넥스원),manual,00503668,079550,사명 변경 — DART 'LIG디펜스앤에어로스페이스'(정식 엘아이지디펜스앤에어로스페이스(주))
13,LS,auto,00105952,006260,
14,NAVER,auto,00266961,035420,
15,NH투자증권,auto,00120182,005940,
16,S-Oil,auto,00138279,010950,
17,SK이노베이션,auto,00631518,096770,
18,SK텔레콤,auto,00159023,017670,
19,SK하이닉스,auto,00164779,000660,
20,기아,auto,00106641,000270,
21,기업은행,auto,00149646,024110,
22,네오위즈,auto,00628860,095660,
23,네패스,auto,00227333,033640,
24,대한항공,auto,00113526,003490,
25,더블유게임즈,auto,01010110,192080,
26,덕산네오룩스,auto,01061558,213420,
27,두산,auto,00117212,000150,
28,두산에너빌리티,auto,00159616,034020,
29,레인보우로보틱스,auto,01261644,277810,
30,롯데케미칼,auto,00165413,011170,
31,리노공업,auto,00369657,058470,
32,리메드,auto,01275665,302550,
33,보로노이,auto,01327746,310210,
34,비에이치,auto,00447609,090460,
35,삼성SDI,auto,00126362,006400,
36,삼성물산,manual,00149655,028260,동명 2건. modify_date 2026-03-23 인 쪽이 현행 — 00126229/000830 은 2017 이후 갱신 없음
37,삼성바이오로직스,auto,00877059,207940,
38,삼성생명,auto,00126256,032830,
39,삼성전기,auto,00126371,009150,
40,삼성전자,auto,00126380,005930,
41,삼성카드,auto,00126292,029780,
42,삼천당제약,auto,00128546,000250,
43,셀트리온,auto,00413046,068270,
44,솔브레인,auto,01489648,357780,
45,실리콘투,auto,00982023,257720,
46,아모레퍼시픽,auto,00583424,090430,
47,아이센스,auto,00550994,099190,
48,아이패밀리에스씨,auto,00692254,114840,
49,알테오젠,auto,00989619,196170,
50,에이피알,auto,01190568,278470,
51,에코프로,auto,00536541,086520,
52,에코프로비엠,auto,01160363,247540,
53,엔씨소프트(NC),manual,00261443,036570,사명 변경 — DART corp_name 은 'NC'(정식 (주)엔씨)
54,엔켐,auto,01011526,348370,
55,엠씨넥스,auto,00564562,097520,
56,오스코텍,auto,00263654,039200,
57,올릭스,auto,01113718,226950,
58,위메이드,auto,00444329,112040,
59,유진테크,auto,00531014,084370,
60,유한양행,auto,00145109,000100,
61,이오테크닉스,auto,00246417,039030,
62,제이엘케이,auto,01153293,322510,
63,주성엔지니어링,auto,00252135,036930,
64,지놈앤컴퍼니,auto,01276026,314130,
65,카카오,auto,00258801,035720,
66,카카오게임즈,auto,01137383,293490,
67,카카오뱅크,auto,01133217,323410,
68,카카오페이,auto,01244601,377300,
69,컴투스,auto,00476498,078340,
70,케어젠,auto,00549891,214370,
71,코웨이,auto,00170558,021240,
72,크래프톤,auto,00760971,259960,
73,클래시스,auto,01061327,214150,
74,테크윙,auto,00535676,089030,
75,텔레칩스,auto,00423177,054450,
76,티씨케이,auto,00245472,064760,
77,파마리서치,auto,00970453,214450,
78,파크시스템스,auto,00244747,140860,
79,펄어비스,auto,01152470,263750,
80,하이브,auto,01204056,352820,
81,한미반도체,auto,00161383,042700,
82,한미약품,auto,00828497,128940,
83,한화,auto,00160588,000880,
84,한화시스템,auto,00339391,272210,
85,한화에어로스페이스,auto,00126566,012450,
86,한화오션,auto,00111704,042660,
87,현대글로비스,auto,00360595,086280,
88,현대로템,auto,00302926,064350,
89,현대모비스,auto,00164788,012330,
90,현대무벡스,auto,01358463,319400,
91,현대오토에버,auto,00362441,307950,
92,현대자동차,auto,00164742,005380,
93,현대제철,auto,00145880,004020,
94,효성중공업,auto,01316245,298040,
95,휴젤,auto,00888347,145020,
97,CJ CGV,auto,00303873,079160,
98,CJ ENM 엔터테인먼트부문,auto,00265324,035760,
99,CJ ENM 커머스부문,auto,00265324,035760,
100,CJ대한통운,auto,00113410,000120,
101,CJ올리브영,UNMAPPED,,,후보 2건(01423068·00429870) 모두 2025 사업보고서 없음 — 비상장. 법인 특정 불가라 비워 둔다. 재무는 채우지 않는다
102,CJ제일제당,auto,00635134,097950,
103,CJ프레시웨이,auto,00127954,051500,
104,고려아연,auto,00102858,010130,
105,현대건설,auto,00164478,000720,
106,LS ELECTRIC,auto,00105855,010120,DART 정식명 '엘에스일렉트릭'
107,원익IPS,auto,01135941,240810,
108,LG CNS,auto,00139834,064400,DART 정식명 'LG씨엔에스'
109,엘앤에프,auto,00398701,066970,
110,하나마이크론,auto,00445054,067310,
111,심텍,auto,01095722,222800,
112,한국타이어앤테크놀로지,auto,00937324,161390,
113,KB금융,auto,00688996,105560,
114,HD현대,auto,01205709,267250,
