stock_cd,corp_nm,sector_nm,market
000100,유한양행,제약,KOSPI
000120,CJ대한통운,운송·창고,KOSPI
000150,두산,전기·전자,KOSPI
000250,삼천당제약,제약,KOSDAQ
000270,기아,운송장비·부품,KOSPI
000660,SK하이닉스,전기·전자,KOSPI
000880,한화,화학,KOSPI
003490,대한항공,운송·창고,KOSPI
003550,LG,기타금융,KOSPI
004020,현대제철,금속,KOSPI
005380,현대자동차,운송장비·부품,KOSPI
005830,DB손해보험,보험,KOSPI
005930,삼성전자,전기·전자,KOSPI
005940,NH투자증권,증권,KOSPI
006260,LS,기타금융,KOSPI
006400,삼성SDI,전기·전자,KOSPI
009150,삼성전기,전기·전자,KOSPI
010950,S-Oil,화학,KOSPI
011170,롯데케미칼,화학,KOSPI
011200,HMM,운송·창고,KOSPI
012330,현대모비스,운송장비·부품,KOSPI
012450,한화에어로스페이스,운송장비·부품,KOSPI
017670,SK텔레콤,통신,KOSPI
021240,코웨이,일반서비스,KOSPI
024110,기업은행,은행,KOSPI
028260,삼성물산,유통,KOSPI
029780,삼성카드,기타금융,KOSPI
030200,케이티,통신,KOSPI
032640,LG유플러스,통신,KOSPI
032830,삼성생명,보험,KOSPI
033640,네패스,전기·전자,KOSDAQ
034020,두산에너빌리티,기계·장비,KOSPI
034220,LG디스플레이,전기·전자,KOSPI
035420,NAVER,IT 서비스,KOSPI
035720,카카오,IT 서비스,KOSPI
035760,CJ ENM 커머스부문,오락·문화,KOSDAQ
036570,NC,IT 서비스,KOSPI
036930,주성엔지니어링,기계·장비,KOSDAQ
039030,이오테크닉스,기계·장비,KOSDAQ
039200,오스코텍,제약,KOSDAQ
042660,한화오션,운송장비·부품,KOSPI
042700,한미반도체,기계·장비,KOSPI
051500,CJ프레시웨이,유통,KOSDAQ
051910,LG화학,화학,KOSPI
054450,텔레칩스,전기·전자,KOSDAQ
058470,리노공업,전기·전자,KOSDAQ
064350,현대로템,운송장비·부품,KOSPI
064760,티씨케이,비금속,KOSDAQ
066570,LG전자,전기·전자,KOSPI
068270,셀트리온,제약,KOSPI
078340,컴투스,IT 서비스,KOSDAQ
079160,CJ CGV,오락·문화,KOSPI
079550,LIG디펜스앤에어로스페이스,금속,KOSPI
084370,유진테크,기계·장비,KOSDAQ
086280,현대글로비스,운송·창고,KOSPI
086520,에코프로,금융,KOSDAQ
089030,테크윙,기계·장비,KOSDAQ
090430,아모레퍼시픽,화학,KOSPI
090460,비에이치,전기·전자,KOSPI
095660,네오위즈,IT 서비스,KOSDAQ
096770,SK이노베이션,화학,KOSPI
097520,엠씨넥스,전기·전자,KOSPI
097950,CJ제일제당,음식료·담배,KOSPI
099190,아이센스,의료·정밀기기,KOSDAQ
112040,위메이드,IT 서비스,KOSDAQ
114840,아이패밀리에스씨,화학,KOSDAQ
128940,한미약품,제약,KOSPI
140860,파크시스템스,의료·정밀기기,KOSDAQ
145020,휴젤,제약,KOSDAQ
192080,더블유게임즈,IT 서비스,KOSPI
196170,알테오젠,일반서비스,KOSDAQ
207940,삼성바이오로직스,제약,KOSPI
213420,덕산네오룩스,전기·전자,KOSDAQ
214150,클래시스,의료·정밀기기,KOSDAQ
214370,케어젠,제약,KOSDAQ
214450,파마리서치,제약,KOSDAQ
226950,올릭스,일반서비스,KOSDAQ
247540,에코프로비엠,전기·전자,KOSDAQ
257720,실리콘투,유통,KOSDAQ
259960,크래프톤,IT 서비스,KOSPI
263750,펄어비스,IT 서비스,KOSDAQ
272210,한화시스템,전기·전자,KOSPI
277810,레인보우로보틱스,기계·장비,KOSDAQ
278470,에이피알,화학,KOSPI
293490,카카오게임즈,IT 서비스,KOSDAQ
298040,효성중공업,전기·전자,KOSPI
302550,리메드,의료·정밀기기,KOSDAQ
307950,현대오토에버,IT 서비스,KOSPI
310210,보로노이,일반서비스,KOSDAQ
314130,지놈앤컴퍼니,제약,KOSDAQ
319400,현대무벡스,기계·장비,KOSDAQ
322510,제이엘케이,IT 서비스,KOSDAQ
323410,카카오뱅크,은행,KOSPI
348370,엔켐,화학,KOSDAQ
352820,하이브,오락·문화,KOSPI
357780,솔브레인,화학,KOSDAQ
373220,LG에너지솔루션,전기·전자,KOSPI
377300,카카오페이,기타금융,KOSPI
403870,HPSP,기계·장비,KOSDAQ
010130,고려아연,금속,KOSPI
000720,현대건설,건설,KOSPI
010120,LS ELECTRIC,전기·전자,KOSPI
240810,원익IPS,기계·장비,KOSDAQ
064400,LG CNS,IT 서비스,KOSPI
066970,엘앤에프,전기·전자,KOSPI
067310,하나마이크론,전기·전자,KOSDAQ
222800,심텍,전기·전자,KOSDAQ
161390,한국타이어앤테크놀로지,화학,KOSPI
105560,KB금융,기타금융,KOSPI
267250,HD현대,기타금융,KOSPI
